"Data used to generate the results reported herein. ""N.species"" is the number of species extant at a pseudolevel (age); the value for speciation includes the originating species but not the extinguishing species and, conversely, the value for extinction includes the extinguishing species but excludes the originators. Species turnover, used for spectral analysis, is simply the sum of the relevant speciation and extinction state probabilites. ﻿Raw speciation and species extinction probabilities calculated at each pseudolevel as the number of speciations or extinctions divided by the number of species extant. ﻿Raw species turnover probability calculated as the sum of raw speciation and raw extinction probability",,,,,,,,,
age,N.speciations,N.extinctions,N.turnover,N.species.speciation,N.species.extinction,raw.speciation.probability,raw.extinction.probability,raw.turnover.probability,mean.population.age.per.pseudolevel
33.35,1,0,1,32,31,0.031,0,0.031,6.259
33.45,1,0,1,31,30,0.032,0,0.032,6.358
33.55,1,0,1,30,29,0.033,0,0.033,6.468
33.65,0,0,0,29,29,0,0,0,6.588
33.75,0,0,0,29,29,0,0,0,6.488
33.85,0,0,0,29,29,0,0,0,6.388
33.95,1,11,12,29,39,0.034,0.282,0.317,6.288
34.05,1,4,5,39,42,0.026,0.095,0.121,7.742
34.15,2,0,2,42,40,0.048,0,0.048,7.506
34.25,1,1,2,40,40,0.025,0.025,0.050,7.780
34.35,0,0,0,40,40,0,0,0,8.008
34.45,2,0,2,40,38,0.050,0,0.050,7.908
34.55,0,0,0,38,38,0,0,0,8.223
34.65,0,5,5,38,43,0,0.116,0.116,8.123
34.75,0,0,0,43,43,0,0,0,7.946
34.85,1,0,1,43,42,0.023,0,0.023,7.846
34.95,0,1,1,42,43,0,0.023,0.023,7.932
35.05,0,0,0,43,43,0,0,0,7.813
35.15,0,0,0,43,43,0,0,0,7.713
35.25,1,0,1,43,42,0.023,0,0.023,7.613
35.35,0,0,0,42,42,0,0,0,7.692
35.45,0,0,0,42,42,0,0,0,7.592
35.55,2,0,2,42,40,0.048,0,0.048,7.492
35.65,0,1,1,40,41,0,0.024,0.024,7.764
35.75,0,0,0,41,41,0,0,0,7.674
35.85,1,2,3,41,42,0.024,0.048,0.072,7.574
35.95,0,1,1,42,43,0,0.023,0.023,7.505
