"age","N.speciations","N.extinctions","N.turnover","N.species.speciation","N.species.extinction","raw.speciation.probability","raw.extinction.probability","raw.turnover.probability","mean.lifespan"
"260",25.85,0,0,0,51,51,0,0,0,11.9516274509804
"261",25.95,0,0,0,51,51,0,0,0,11.8516274509804
"262",26.05,0,0,0,51,51,0,0,0,11.7516274509804
"263",26.15,1,1,2,51,51,0.0196078431372549,0.0196078431372549,0.0392156862745098,11.6516274509804
"264",26.25,0,0,0,51,51,0,0,0,11.6666470588235
"265",26.35,0,0,0,51,51,0,0,0,11.5666470588235
"266",26.45,0,0,0,51,51,0,0,0,11.4666470588235
"267",26.55,1,0,1,51,50,0.0196078431372549,0,0.0196078431372549,11.3666470588235
"268",26.65,0,0,0,50,50,0,0,0,11.49224
"269",26.75,0,0,0,50,50,0,0,0,11.39224
"270",26.85,1,0,1,50,49,0.02,0,0.02,11.29224
"271",26.95,0,0,0,49,49,0,0,0,11.4218775510204
"272",27.05,0,0,0,49,49,0,0,0,11.3218775510204
"273",27.15,0,0,0,49,49,0,0,0,11.2218775510204
"274",27.25,0,1,1,49,50,0,0.02,0.02,11.1218775510204
"275",27.35,0,1,1,50,51,0,0.0196078431372549,0.0196078431372549,10.89584
"276",27.45,0,0,0,51,51,0,0,0,10.8874901960784
"277",27.55,1,0,1,51,50,0.0196078431372549,0,0.0196078431372549,10.7874901960784
"278",27.65,0,0,0,50,50,0,0,0,10.9027
"279",27.75,0,0,0,50,50,0,0,0,10.8027
"280",27.85,1,0,1,50,49,0.02,0,0.02,10.7027
"281",27.95,0,0,0,49,49,0,0,0,10.8209591836735
"282",28.05,0,2,2,49,51,0,0.0392156862745098,0.0392156862745098,10.7209591836735
"283",28.15,1,0,1,51,50,0.0196078431372549,0,0.0196078431372549,11.0722941176471
"284",28.25,0,0,0,50,50,0,0,0,11.19242
"285",28.35,0,0,0,50,50,0,0,0,11.09242
"286",28.45,0,1,1,50,51,0,0.0196078431372549,0.0196078431372549,10.99242
"287",28.55,2,0,2,51,49,0.0392156862745098,0,0.0392156862745098,10.747862745098
"288",28.65,2,1,3,49,48,0.0408163265306122,0.0208333333333333,0.0616496598639456,11.083693877551
"289",28.75,0,0,0,48,48,0,0,0,11.3333958333333
"290",28.85,0,0,0,48,48,0,0,0,11.2333958333333
"291",28.95,3,0,3,48,45,0.0625,0,0.0625,11.1333958333333
"292",29.05,0,0,0,45,45,0,0,0,11.7718
"293",29.15,1,0,1,45,44,0.0222222222222222,0,0.0222222222222222,11.6718
